Gene_Region	chr	start	end	region	PromoterOnRegion	S2vS1_DS	S3vS2_DS	S2vS1_p0.05	S3vS2_p0.05	S2vS1_p0.01	S3vS2_p0.01	S2vS1_p1e-05	S3vS2_p1e-05
Opn3_R19	1	175600276	175605276	Region1		-0.382982533753396	0.932636662040084	0	0	0	0	0	0
Opn3_R19	1	175605276	175610276	Region2		0.784870082290782	-0.402470881828233	0	0	0	0	0	0
Opn3_R19	1	175610276	175615276	Region3		1.10375791329127	0.337467368581922	0	0	0	0	0	0
Opn3_R19	1	175615276	175620276	Region4	Kmo	0.831928442659014	0.344742396885728	0	0	0	0	0	0
Opn3_R19	1	175620276	175625276	Region5	Kmo	0.531310518105073	0.314838222841539	0	0	0	0	0	0
Opn3_R19	1	175625276	175630276	Region6	Fh1	-0.438464717692971	0.327524366196539	0	0	0	0	0	0
Opn3_R19	1	175630276	175635276	Region7		-0.500053650328438	1.00033427413807	0	0	0	0	0	0
Opn3_R19	1	175635276	175640276	Region8		0.371422163553292	0.629431995252265	0	0	0	0	0	0
Opn3_R19	1	175640276	175645276	Region9		-0.37891740185239	0.545687712345826	0	0	0	0	0	0
Opn3_R19	1	175645276	175650276	Region10		0.570132662234982	-0.572112757142906	0	0	0	0	0	0
Opn3_R19	1	175650276	175655276	Region11		-0.351539471459382	-0.472567649008222	0	0	0	0	0	0
Opn3_R19	1	175655276	175660276	Region12		-1.3671299520647	1.53274686773189	1	0	0	0	0	0
Opn3_R19	1	175660276	175665276	Region13		-0.560154676657675	0.797604838482267	0	0	0	0	0	0
Opn3_R19	1	175665276	175670276	Region14		-0.835889514790353	0.881023371219961	0	0	0	0	0	0
Opn3_R19	1	175670276	175675276	Region15		-1.44872422204234	0.832378657288164	1	0	0	0	0	0
Opn3_R19	1	175675276	175680276	Region16		-1.41250775074311	0.42393069519428	1	0	0	0	0	0
Opn3_R19	1	175680276	175685276	Region17		0.33383924934408	-0.469491422687753	0	0	0	0	0	0
Opn3_R19	1	175685276	175690276	Region18		0.537755929519669	-1.39242867920689	0	1	0	0	0	0
