chr19,44193676,44198675,1
chr19,44198676,44203675,2
chr19,44203676,44208675,3
chr19,44208676,44213675,4
chr19,44213676,44218675,5
chr19,44223676,44228675,6
chr19,44228676,44233675,7
chr19,44233676,44238675,8
chr19,44238676,44243675,9
chr19,44243676,44248675,10
chr19,44248676,44253675,11
chr19,44253676,44258675,12
chr19,44258676,44263675,13
chr19,44263676,44268675,14
chr19,44268676,44273675,15
chr19,44273676,44278675,16
chr19,44278676,44283675,17
chr19,44283676,44288675,18
chr19,44288676,44293675,19
