15	61435391	61455391	Region1
15	61455391	61475391	Region2
15	61475391	61495391	Region3
15	61495391	61515391	Region4
15	61515391	61535391	Region5
15	61535391	61555391	Region6
15	61555391	61575391	Region7
15	61575391	61595391	Region8
15	61595391	61615391	Region9
15	61615391	61635391	Region10
15	61635391	61655391	Region11
15	61655391	61675391	Region12
15	61675391	61695391	Region13
15	61695391	61715391	Region14
15	61715391	61735391	Region15
15	61735391	61755391	Region16
15	61755391	61775391	Region17
15	61775391	61795391	Region18
15	61795391	61815391	Region19
15	61815391	61835391	Region20
15	61835391	61855391	Region21
15	61855391	61875391	Region22
15	61875391	61895391	Region23
15	61895391	61915391	Region24
15	61915391	61935391	Region25
15	61935391	61955391	Region26
15	61955391	61975391	Region27
15	61975391	61995391	Region28
15	61995391	62015391	Region29
15	62015391	62035391	Region30
15	62035391	62055391	Region31
15	62055391	62075391	Region32
15	62075391	62095391	Region33
15	62095391	62115391	Region34
15	62115391	62135391	Region35
15	62135391	62155391	Region36
15	62155391	62175391	Region37
15	62175391	62195391	Region38
15	62195391	62215391	Region39
15	62215391	62235391	Region40
